,1C_A_1,1C_A_2,1C_A_3,1C_A_4,1C_A_5,1C_A_6,1C_A_7,1C_B_1,1C_B_2,1C_B_3,1C_B_4,1C_B_5,1C_B_6,1C_B_7,1C_C_1,1C_C_2,1C_C_3,1C_C_4,1C_C_5,1C_C_6,1C_C_7,1C_D_1,1C_D_2,1C_D_3,1C_D_4,1C_D_5,1C_D_6,1C_D_7,1C_E_1,1C_E_2,1C_E_3,1C_E_4,1C_E_5,1C_E_6,1C_E_7,1G_A_1,1G_A_2,1G_A_3,1G_A_4,1G_A_5,1G_A_6,1G_B_1,1G_B_2,1G_B_3,1G_B_4,1G_B_5,1G_B_6,1G_B_7,1G_C_1,1G_C_2,1G_C_3,1G_C_4,1G_C_5,1G_C_7,1G_D_1,1G_D_2,1G_D_3,1G_D_4,1G_D_5,1G_D_6,1G_D_7,1G_E_1,1G_E_2,1G_E_3,1G_E_4,1G_E_5,1G_E_6,1G_E_7,2C_A_1,2C_A_2,2C_A_3,2C_B_1,2C_B_2,2C_B_3,2C_C_1,2C_C_2,2C_C_3,2C_D_1,2C_D_2,2C_D_3,2C_E_1,2C_E_2,2G_A_1,2G_A_2,2G_B_1,2G_B_2,2G_C_1,2G_D_1,2G_E_1,2G_E_3,3C_A_7,3C_B_7,3C_C_7,3C_D_7,3C_E_6,3C_E_7,3G_B_7,3G_C_7,3G_D_7,3G_E_7,5C_A_1,5C_A_2,5C_A_3,5C_A_4,5C_A_5,5C_A_6,5C_A_7,5C_B_1,5C_B_2,5C_B_3,5C_B_4,5C_B_5,5C_B_6,5C_B_7,5C_C_1,5C_C_2,5C_C_3,5C_C_4,5C_C_5,5C_C_6,5C_C_7,5C_D_1,5C_D_2,5C_D_3,5C_D_4,5C_D_5,5C_D_6,5C_D_7,5C_E_1,5C_E_2,5C_E_3,5C_E_4,5C_E_5,5C_E_6,5C_E_7,5G_A_1,5G_A_2,5G_A_3,5G_A_4,5G_A_5,5G_A_6,5G_A_7,5G_B_1,5G_B_2,5G_B_3,5G_B_4,5G_B_5,5G_B_6,5G_B_7,5G_C_1,5G_C_2,5G_C_3,5G_C_4,5G_C_5,5G_C_6,5G_C_7,5G_D_1,5G_D_2,5G_D_3,5G_D_4,5G_D_5,5G_D_6,5G_D_7,5G_E_1,5G_E_2,5G_E_3,5G_E_4,5G_E_5,5G_E_6,5G_E_7,7C_A_1,7C_A_2,7C_B_1,7C_C_1,7C_D_1,7C_E_1,7G_A_1,7G_A_2,7G_B_1,7G_B_2,7G_C_2,7G_D_2,7G_E_1,7G_E_2,innoc_1,innoc_2,innoc_3,negative1,negative2,negative3,negative4
ASV_1,363,184,0,0,56,102,30,337,199,0,90,63,0,64,244,124,24,98,0,77,29,86,62,54,35,36,34,0,404,134,617,593,230,125,13,0,4411,26,3339,957,5799,14,941,19,1383,1230,8719,3842,0,0,17,1575,1285,2231,4893,3667,3,1834,0,3644,2969,3717,3365,0,999,4908,18004,13,0,125,0,0,90,39,181,0,138,798,299,226,334,62,5647,6144,3089,0,0,4,0,3960,0,18,19,0,0,0,4341,1554,7307,0,28,31,0,11,24,16,314,11,16,17,14,27,0,60,45,37,49,299,317,12,125,31,40,32,66,59,0,30,21,23,25,47,164,13,89,1550,2051,4385,3668,4967,5588,1717,1844,2091,4264,3399,6445,4752,2846,1718,2460,3796,3448,5961,5557,2740,1517,1607,5681,2884,2903,1758,3087,1106,4573,3858,4098,6165,2085,1696,13,0,10,13,8,0,646,2040,572,846,1849,1377,1365,1924,44,40,38,0,0,10,0
ASV_2,7950,8367,30,0,11142,4706,2770,11384,10789,35,3976,7699,0,4849,6864,11417,44,4727,0,5754,4320,7434,11370,2785,3452,7541,4089,0,8616,6405,8020,6511,6648,6974,11,0,11,2,9,16,15,3,21,8,2,15,31,7,7,0,9,8,0,9,11,5,0,12,0,39,9,7,15,30,8,24,58,12,0,2128,9,8,3987,1745,2112,0,2953,4980,3402,2996,5105,2230,55,173,82,5,0,0,0,10,242,350,334,297,548,200,7,0,9,4,152,212,90,99,63,42,44,34,310,246,75,142,59,81,963,940,714,2591,835,231,344,813,1681,1605,676,1585,206,712,147,223,127,157,259,90,84,0,9,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,5,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,76,70,59,85,95,27,0,6,0,0,0,0,0,0,1288,1153,1281,8,0,0,0
ASV_3,149,124,0,0,1154,4127,1068,294,196,7,326,703,0,2731,349,266,12,371,1,4929,3323,240,309,120,169,1168,2301,0,370,222,182,233,751,2473,0,0,0,0,0,0,2,3,0,0,0,0,0,0,10,0,4,0,8,10,0,0,0,4,0,12,0,0,0,0,8,15,12,0,0,806,0,0,2456,2376,358,0,3745,576,1557,3818,1782,1569,4,0,4,0,0,0,0,0,1406,501,1491,394,2344,1663,13,6,0,0,1707,4276,2552,3069,2388,1943,555,267,4696,2957,3311,2793,1483,651,1991,4358,3667,3211,3420,2356,640,729,2318,2332,8110,6668,2583,418,1103,3899,3221,9551,2965,3026,651,0,4,0,0,0,0,7,0,0,0,0,9,0,0,15,0,0,0,13,0,0,7,0,0,0,0,0,6,0,0,0,0,0,3,4,2115,1214,1258,1132,840,781,0,0,0,0,0,0,0,0,3478,2850,2743,4,0,3,0
ASV_4,652,556,8,0,567,222,76,1080,1208,7,224,457,8,247,601,845,0,137,0,271,94,642,1204,267,199,463,210,0,658,309,768,518,663,329,0,0,3054,22,3870,1188,471,0,1839,16,2837,1470,1494,1980,6,0,12,3672,1684,2557,3137,1793,0,2000,0,1404,1671,2718,1321,6,1028,2283,3119,9,0,1027,0,8,315,70,243,0,132,576,315,129,831,168,1680,2162,1419,0,0,0,0,1483,922,1230,615,1034,399,548,870,472,1944,0,24,0,8,0,11,0,134,0,0,15,0,0,0,0,11,13,10,62,155,0,0,0,6,17,19,14,9,0,12,13,12,0,47,0,0,3727,2410,1746,1621,2243,2660,657,3735,1676,1614,1521,2918,1741,1309,3181,2135,1286,1243,2148,1540,1173,3197,1872,1571,1032,1058,659,1218,3361,3421,1404,1730,2463,632,786,0,0,0,0,0,0,1783,679,2755,643,719,1553,1207,649,254,228,201,4,0,0,5
ASV_5,92,51,0,0,83,24,9,107,113,0,41,50,0,26,134,78,0,37,0,36,29,107,97,29,46,76,28,0,210,74,123,132,124,51,0,0,1266,21,1210,323,1364,0,2045,9,2601,1627,3954,2388,0,0,0,3163,2042,2896,5650,2572,0,1425,0,1581,1599,3636,1715,0,688,2357,3531,0,0,4997,0,0,39,19,38,0,43,122,61,15,77,25,0,63,14,0,0,0,0,17,686,866,452,871,783,509,0,0,0,0,61,102,56,87,105,23,41,0,107,117,54,93,26,131,22,44,84,86,123,10,35,0,7,11,45,39,0,8,26,73,95,172,164,46,54,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,0,0,0,0,0,0,0,0,0,0,25,15,14,0,0,0,0
ASV_6,0,0,0,0,0,0,0,0,5,0,6,5,0,0,4,0,4,7,0,0,0,0,6,0,4,0,0,0,0,5,5,3,6,0,0,2,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27,21,16,7,12,12,0,0,0,0,848,1500,1041,1101,1114,142,775,139,2008,1751,760,1284,410,1048,225,631,943,1361,2349,202,389,63,494,489,879,2884,173,654,702,956,1452,2240,2988,511,1048,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,1001,600,1312,801,1194,631,0,3,0,0,0,0,0,0,60,23,27,0,0,0,0
ASV_7,0,0,0,0,5,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,275,0,111,0,23,178,502,254,0,0,0,197,180,240,73,221,0,77,0,339,295,62,227,0,29,371,1236,0,0,81,0,0,0,0,0,0,0,0,0,0,0,0,10,386,0,0,0,0,0,105,189,312,499,162,534,0,0,0,0,0,33,81,22,84,133,94,60,23,192,117,143,115,154,141,35,92,95,395,239,203,82,16,118,50,227,251,130,127,42,85,113,332,264,299,109,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,245,191,106,208,82,96,0,0,0,0,0,0,0,0,3902,3028,3067,0,0,0,0
ASV_8,464,660,0,0,337,181,58,403,628,0,174,314,0,215,397,607,9,201,0,251,81,324,634,132,133,202,152,0,342,199,651,659,461,266,0,0,0,0,0,0,0,0,0,0,0,29,0,0,0,0,0,0,51,54,0,0,0,0,0,34,40,0,0,0,0,45,124,0,0,139,0,0,305,61,209,0,119,557,321,125,256,96,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,14,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,6,0,0,4,0,0,0,24,0,0,0,6,5,0,12,0,0,4,0,0,0,0,0,2,0,6,0,8,0,6,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0
ASV_9,13,65,0,0,111,108,62,16,63,0,31,73,0,143,13,80,0,40,0,164,170,12,76,22,32,113,67,0,15,45,67,43,82,113,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,61,0,0,82,69,13,0,104,48,65,121,55,36,0,0,0,0,0,0,0,0,58,67,79,40,135,115,0,0,0,0,61,135,50,102,99,17,48,16,148,97,36,83,13,80,72,230,209,534,251,47,99,37,109,142,165,308,27,132,53,116,130,151,232,40,118,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,55,58,63,60,46,23,0,0,0,0,0,0,0,0,334,324,332,0,0,0,0
ASV_10,35,46,0,0,43,38,0,50,43,0,0,0,0,55,39,51,0,0,0,73,0,0,63,0,0,64,40,0,44,30,102,167,105,80,0,0,100,0,49,38,181,0,37,3,31,64,300,168,0,0,0,45,66,84,75,35,0,54,0,97,124,71,70,0,19,100,634,0,0,317,0,0,86,0,84,0,0,186,118,0,175,0,27,140,57,0,0,0,0,41,0,0,0,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,495,368,437,0,0,0,0
ASV_11,148,146,0,0,123,62,22,135,109,0,72,59,0,58,118,215,0,102,0,84,46,84,126,40,34,60,46,0,77,54,63,109,67,59,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,202,0,0,68,50,93,0,56,149,59,75,440,79,0,0,0,0,0,0,0,0,24,18,27,16,33,33,0,0,0,0,38,53,5,26,22,13,20,16,39,46,12,19,0,52,23,30,37,176,80,21,46,0,56,36,32,70,0,36,11,33,37,56,93,6,47,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,35,28,39,51,36,24,0,0,0,0,0,0,0,0,255,168,138,0,0,0,0
ASV_12,57,48,0,0,71,16,14,62,74,0,23,42,0,12,54,72,0,18,0,18,17,28,85,20,24,47,13,0,48,37,38,47,35,24,0,0,16,0,16,3,60,0,33,5,32,65,95,29,0,0,0,61,43,62,83,45,0,80,0,50,93,66,50,0,20,86,199,0,0,142,0,0,19,3,0,0,0,0,6,0,12,6,24,61,4,0,0,0,0,13,10,9,14,12,4,18,37,22,48,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,4,5,16,17,35,11,11,8,7,9,23,14,32,12,5,0,9,20,32,21,8,12,6,7,9,7,37,18,27,12,13,30,6,19,0,0,0,0,0,0,4,14,13,5,0,32,14,6,506,455,496,0,0,0,0
ASV_13,32,35,0,0,9,26,4,38,28,0,0,13,0,23,20,62,0,18,0,28,14,31,61,8,0,9,23,0,30,22,44,19,14,41,0,0,0,0,0,0,13,0,0,0,0,0,19,15,0,0,0,0,0,0,10,0,0,11,0,16,13,0,0,0,0,0,73,0,0,144,0,0,10,0,9,0,13,0,0,0,17,3,36,80,13,0,0,0,0,0,104,76,107,31,79,149,0,0,0,0,133,101,13,55,57,0,79,48,94,97,14,63,0,201,50,50,97,198,182,0,76,0,16,15,18,26,0,7,59,97,68,86,195,11,127,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,61,49,115,158,126,85,0,0,0,0,0,0,0,0,16,11,15,0,0,0,0
ASV_14,243,148,0,0,150,33,31,256,196,0,35,92,0,38,212,197,0,63,0,43,35,151,228,55,48,100,19,0,196,82,143,126,86,48,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,5,0,0,0,0,13,0,0,158,0,0,76,17,99,0,36,210,82,27,232,48,0,0,0,0,0,0,0,0,0,0,7,0,7,0,0,0,0,0,7,13,0,0,3,0,0,0,3,9,3,6,0,0,0,0,7,12,6,0,5,5,6,0,0,0,0,0,10,7,5,7,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0
ASV_15,193,134,0,0,102,91,18,158,148,0,66,49,0,163,116,194,0,54,0,142,0,75,145,35,41,60,102,0,102,66,317,289,266,148,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,11,0,0,110,0,0,68,37,58,0,51,140,106,71,37,16,0,9,0,0,0,0,0,0,0,13,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,9,0,30,0,0,0,7,16,0,0,11,0,0,0,9,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ASV_16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50,0,8,0,0,0,108,65,0,0,0,12,11,30,47,25,0,12,0,40,34,13,15,0,10,27,267,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,18,5,18,20,0,0,0,0,14,9,6,11,24,8,13,3,16,35,8,29,6,0,6,13,23,58,14,7,15,5,19,20,14,43,8,18,11,18,11,22,30,13,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25,20,11,4,13,4,0,0,0,0,0,0,0,0,515,457,525,0,0,0,0
ASV_17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,7,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,42,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,74,65,97,58,77,72,0,0,0,0,9,0,0,0,0,0,9,0,0,0,0,0,0,18,0,0,0,66,42,0,22,0,0,0,0,7,0,10,17,5,0,0,58,0,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,6,3,25,20,17,0,0,0,0,0,0,0,0,767,573,587,0,0,0,0
ASV_18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,297,173,299,181,287,333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,58,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ASV_19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,37,51,0,11,0,34,34,78,55,0,0,0,84,66,82,16,26,0,19,0,78,56,10,28,0,8,60,145,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,83,17,0,0,0,0,71,22,27,25,0,29,0,13,5,42,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ASV_20,13,9,0,0,26,0,0,28,13,0,0,19,0,13,15,16,0,5,0,0,0,13,25,0,14,20,15,0,11,13,0,0,16,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,56,13,4,0,0,8,6,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,349,272,305,0,0,0,0
