"Sample_Name","Substrate","Frequency","Substrate_Frequency","Replicate","Time","Run","Richness","Shannon","InverseSimpson","Pielou"
"1C_A_1","Cellulose","1","1C","A",1,"run1",14,0.981318296132304,1.63411487482216,0.190569364327935
"1C_A_2","Cellulose","1","1C","A",2,"run1",18,0.922917816932849,1.55652959002272,0.139812373996624
"1C_A_5","Cellulose","1","1C","A",5,"run1",19,0.875896732343882,1.53940742520692,0.12636986356963
"1C_A_6","Cellulose","1","1C","A",6,"run1",15,1.13236731802323,2.40398128213016,0.206866238982065
"1C_A_7","Cellulose","1","1C","A",7,"run1",12,0.967393759609534,1.95344496182961,0.219256524440215
"1C_B_1","Cellulose","1","1C","B",1,"run1",14,0.885818782959498,1.53883422670832,0.173212078730658
"1C_B_2","Cellulose","1","1C","B",2,"run1",17,0.91829234639067,1.58692681344574,0.147353473394718
"1C_B_4","Cellulose","1","1C","B",4,"run1",13,0.907250796905683,1.5693435023777,0.190577077384009
"1C_B_5","Cellulose","1","1C","B",5,"run1",17,0.874401622819449,1.54250909362358,0.141025899477147
"1C_B_7","Cellulose","1","1C","B",7,"run1",17,1.185731258906,2.35170831134158,0.192534083236997
"1C_C_1","Cellulose","1","1C","C",1,"run1",16,1.06195744320453,1.72246841888185,0.180751651865171
"1C_C_2","Cellulose","1","1C","C",2,"run1",16,0.867527361968769,1.50249334634459,0.148813511104615
"1C_C_4","Cellulose","1","1C","C",4,"run1",15,0.872941601918004,1.51167483037608,0.159596168813227
"1C_C_6","Cellulose","1","1C","C",6,"run1",18,1.1584062552544,2.42959556406361,0.176936299212115
"1C_C_7","Cellulose","1","1C","C",7,"run1",13,1.03830115487637,2.27016310925687,0.217262668705998
"1C_D_1","Cellulose","1","1C","D",1,"run1",13,0.840218595308975,1.50290190423067,0.178221029160204
"1C_D_2","Cellulose","1","1C","D",2,"run1",19,0.917343682231463,1.57631971865446,0.131717566434757
"1C_D_3","Cellulose","1","1C","D",3,"run1",12,0.921722423702706,1.58899455105835,0.209468014627438
"1C_D_4","Cellulose","1","1C","D",4,"run1",17,0.864911231432634,1.48407523146626,0.139693839379203
"1C_D_5","Cellulose","1","1C","D",5,"run1",16,0.9700879753952,1.68681798577753,0.164886033985574
"1C_D_6","Cellulose","1","1C","D",6,"run1",14,1.09381857193867,2.24966148145023,0.213260947455616
"1C_E_1","Cellulose","1","1C","E",1,"run1",15,0.972150916121996,1.61973805413303,0.176241637542948
"1C_E_2","Cellulose","1","1C","E",2,"run1",15,0.797594464402338,1.41735878735393,0.148012916304271
"1C_E_3","Cellulose","1","1C","E",3,"run1",17,1.09619180103631,1.79420242786816,0.176043959891701
"1C_E_4","Cellulose","1","1C","E",4,"run1",19,1.25774458523746,1.97938857373014,0.185130482088789
"1C_E_5","Cellulose","1","1C","E",5,"run1",18,1.20652795489934,1.93717821571175,0.185658966250509
"1C_E_6","Cellulose","1","1C","E",6,"run1",17,1.12725409784636,2.07850777982839,0.181598105305368
"1G_A_2","Glucose","1","1G","A",2,"run1",10,1.07416841746821,2.5888937120964,0.292755738242687
"1G_A_4","Glucose","1","1G","A",4,"run1",8,1.06144633892411,2.62152162869663,0.361318585053694
"1G_A_5","Glucose","1","1G","A",5,"run1",7,1.14854249838614,2.69606670500288,0.450513313041399
"1G_A_6","Glucose","1","1G","A",6,"run1",16,1.05236404752068,1.92605551611841,0.179025920794189
"1G_B_2","Glucose","1","1G","B",2,"run1",9,1.24201066690855,3.00323835788367,0.384729838025992
"1G_B_4","Glucose","1","1G","B",4,"run1",9,1.15798181911805,2.88714731256361,0.353722433975656
"1G_B_5","Glucose","1","1G","B",5,"run1",12,1.43443266906255,3.5203770169696,0.349771924664868
"1G_B_6","Glucose","1","1G","B",6,"run1",14,1.20246118948371,2.47694550377713,0.237735601683818
"1G_B_7","Glucose","1","1G","B",7,"run1",13,1.338996831504,3.16240733181933,0.293478021710464
"1G_C_4","Glucose","1","1G","C",4,"run1",10,1.24419488491869,2.98491535114265,0.347013981244749
"1G_C_5","Glucose","1","1G","C",5,"run1",12,1.40732986794102,3.40679731790777,0.340419437543335
"1G_C_7","Glucose","1","1G","C",7,"run1",13,1.38234124479557,3.40225295326008,0.306478365216678
"1G_D_1","Glucose","1","1G","D",1,"run1",11,1.18218578710853,2.96730874623138,0.296499577444665
"1G_D_2","Glucose","1","1G","D",2,"run1",9,1.22564245176665,3.000034376755,0.378483755331131
"1G_D_4","Glucose","1","1G","D",4,"run1",11,1.30437098338245,3.23688754087772,0.33503365503371
"1G_D_6","Glucose","1","1G","D",6,"run1",14,1.38763035633166,3.0080344744513,0.28609625372884
"1G_D_7","Glucose","1","1G","D",7,"run1",12,1.42245995534911,3.32814179310793,0.345609174976958
"1G_E_1","Glucose","1","1G","E",1,"run1",10,1.20355076874435,3.07885468271856,0.333192684487634
"1G_E_2","Glucose","1","1G","E",2,"run1",9,1.25124194387555,2.87328062668001,0.388297828936836
"1G_E_4","Glucose","1","1G","E",4,"run1",10,1.2608789057411,3.12991448126699,0.352852136259993
"1G_E_5","Glucose","1","1G","E",5,"run1",12,1.31749396120742,3.00789271793223,0.311170996919479
"1G_E_6","Glucose","1","1G","E",6,"run1",19,1.19015675908324,2.15235550408624,0.17303139618996
"2C_A_2","Cellulose","2","2C","A",2,"run1",20,1.81770839459009,3.67973244366693,0.307886558945915
"2C_A_4","Cellulose","2","2C","A",4,"run2",24,1.1741874120467,2.24485892539097,0.1348130306947
"2C_A_5","Cellulose","2","2C","A",5,"run2",30,1.26189091694865,2.40300933017136,0.117736469109056
"2C_A_6","Cellulose","2","2C","A",6,"run2",29,1.54110976169719,2.77782189979425,0.161026542346687
"2C_A_7","Cellulose","2","2C","A",7,"run2",34,1.67698650825385,3.39690651264814,0.157335625020531
"2C_B_2","Cellulose","2","2C","B",2,"run1",15,1.28580839306556,2.58512153603852,0.241172747409217
"2C_B_3","Cellulose","2","2C","B",3,"run1",12,1.05264523019462,2.28822240360029,0.238768355812253
"2C_B_4","Cellulose","2","2C","B",4,"run2",22,0.997193007537499,1.99923836784693,0.123211924127038
"2C_B_5","Cellulose","2","2C","B",5,"run2",27,1.17864440185215,2.45218944843997,0.120369095114501
"2C_B_6","Cellulose","2","2C","B",6,"run2",32,1.59269022868538,3.03690904095767,0.15365496547839
"2C_C_1","Cellulose","2","2C","C",1,"run1",12,1.43594102470795,2.49922044816654,0.350299903211648
"2C_C_3","Cellulose","2","2C","C",3,"run1",14,1.1258015951427,2.38929137769433,0.22019192326079
"2C_C_4","Cellulose","2","2C","C",4,"run2",23,1.05028568151024,2.04486240179228,0.124281200555369
"2C_C_5","Cellulose","2","2C","C",5,"run2",18,1.09125287396666,2.04496495239967,0.165444599913464
"2C_C_6","Cellulose","2","2C","C",6,"run2",26,1.56551547811667,2.91304072281113,0.184043882142067
"2C_D_1","Cellulose","2","2C","D",1,"run1",13,1.45618491757112,2.55745443452516,0.329966402638687
"2C_D_2","Cellulose","2","2C","D",2,"run1",14,1.44890924033774,2.81080401204863,0.30417621549519
"2C_D_3","Cellulose","2","2C","D",3,"run1",12,1.13313847072292,2.42537416737512,0.258782282457235
"2C_D_4","Cellulose","2","2C","D",4,"run2",25,1.02268130943083,2.09672810113961,0.111225621399423
"2C_D_5","Cellulose","2","2C","D",5,"run2",28,1.07081795348538,2.00212470950829,0.104205897154658
"2C_D_6","Cellulose","2","2C","D",6,"run2",28,1.59018214585797,3.21548907959886,0.175165793115481
"2C_D_7","Cellulose","2","2C","D",7,"run2",29,1.67298927851605,3.76500492519971,0.183726589797084
"2C_E_1","Cellulose","2","2C","E",1,"run1",17,1.51307496612109,2.88510418252192,0.26709833889186
"2C_E_2","Cellulose","2","2C","E",2,"run1",14,1.22825375273573,2.52977969166985,0.243947174060721
"2C_E_3","Cellulose","2","2C","E",3,"run2",35,1.07460479482297,2.14302256076152,0.0836810051701198
"2C_E_5","Cellulose","2","2C","E",5,"run2",28,0.96519512856289,1.67797136164453,0.0937607099103831
"2C_E_6","Cellulose","2","2C","E",6,"run2",27,1.26859464079439,2.25835072741218,0.131698214821623
"2C_E_7","Cellulose","2","2C","E",7,"run2",23,1.17940066002779,2.01164187405465,0.141409752640342
"2G_A_1","Glucose","2","2G","A",1,"run1",11,0.691288279065294,1.6271584739748,0.181480513671391
"2G_A_2","Glucose","2","2G","A",2,"run1",14,1.10688695843715,2.0827393144537,0.216066214172699
"2G_A_3","Glucose","2","2G","A",3,"run2",20,0.685878800570405,1.51575598310444,0.0992757970803121
"2G_A_4","Glucose","2","2G","A",4,"run2",24,0.887375207290577,1.85915653941163,0.101197763410741
"2G_A_6","Glucose","2","2G","A",6,"run2",28,0.805802029903928,1.69618175574956,0.0799461112810758
"2G_A_7","Glucose","2","2G","A",7,"run2",28,0.768180326553378,1.56403478377477,0.0769942770726955
"2G_B_1","Glucose","2","2G","B",1,"run1",12,0.860102608635937,1.92858194549742,0.196950265570151
"2G_B_3","Glucose","2","2G","B",3,"run2",19,0.711716069105113,1.57439433756886,0.107236038150694
"2G_B_4","Glucose","2","2G","B",4,"run2",23,0.901108041188512,1.78746684048,0.107057824485421
"2G_B_6","Glucose","2","2G","B",6,"run2",28,0.7928382350904,1.70015279709403,0.0789163952331997
"2G_B_7","Glucose","2","2G","B",7,"run2",25,0.864159849010744,1.78242461087292,0.094920462409328
"2G_C_2","Glucose","2","2G","C",2,"run2",19,0.760206275568726,1.69614373714625,0.112564070533412
"2G_C_3","Glucose","2","2G","C",3,"run2",19,0.663275414380627,1.53275789995683,0.102165261628036
"2G_C_4","Glucose","2","2G","C",4,"run2",19,0.774336467470616,1.69600272253358,0.114165912969607
"2G_C_6","Glucose","2","2G","C",6,"run2",25,0.915832624344497,1.83387349156317,0.0999541997385575
"2G_C_7","Glucose","2","2G","C",7,"run2",30,0.764173188768847,1.58995005479374,0.071573943210417
"2G_D_2","Glucose","2","2G","D",2,"run2",18,0.748430027304209,1.73925227521837,0.117426610668372
"2G_D_3","Glucose","2","2G","D",3,"run2",17,0.807783630918766,1.95184546610111,0.131937135884159
"2G_D_4","Glucose","2","2G","D",4,"run2",19,0.841049477281792,2.0023635759578,0.122042064598534
"2G_D_5","Glucose","2","2G","D",5,"run2",26,0.981269465795364,2.01958960279958,0.102609262532462
"2G_D_6","Glucose","2","2G","D",6,"run2",29,0.803537284462064,1.74147750235516,0.0770147324027061
"2G_D_7","Glucose","2","2G","D",7,"run2",24,0.877897291319358,1.99337508507997,0.100243150529131
"2G_E_2","Glucose","2","2G","E",2,"run2",20,0.771479963166378,1.75405998412904,0.108148249735702
"2G_E_3","Glucose","2","2G","E",3,"run1",10,0.835099568973806,1.82981670004663,0.230504354768193
"2G_E_4","Glucose","2","2G","E",4,"run2",24,0.946490993578828,1.94576945157741,0.107360511999949
"2G_E_5","Glucose","2","2G","E",5,"run2",25,0.960865258417105,1.91841828977409,0.104558289748555
"2G_E_6","Glucose","2","2G","E",6,"run2",27,0.907430483391215,1.98025063701677,0.0917758229488413
"2G_E_7","Glucose","2","2G","E",7,"run2",25,0.894466626133286,2.02188566539478,0.0978412317026278
"3C_A_1","Cellulose","3","3C","A",1,"run2",35,1.20296547039986,2.05014096986343,0.0951422069775645
"3C_A_2","Cellulose","3","3C","A",2,"run2",36,1.32819494797615,2.32321222387153,0.104839571210202
"3C_A_3","Cellulose","3","3C","A",3,"run2",34,1.3121183550901,2.39540858016376,0.109236265459634
"3C_A_4","Cellulose","3","3C","A",4,"run2",35,1.73479187368429,3.7878842558062,0.161935659243368
"3C_A_5","Cellulose","3","3C","A",5,"run2",34,1.76683998650605,3.78588984702275,0.172127372556922
"3C_A_6","Cellulose","3","3C","A",6,"run2",37,1.80075886639176,4.36279132695687,0.163628110295309
"3C_A_7","Cellulose","3","3C","A",7,"run1",12,1.70348738718184,4.15067678459787,0.457755874261667
"3C_B_1","Cellulose","3","3C","B",1,"run2",29,1.30500396923271,2.42135271669477,0.127162197621732
"3C_B_2","Cellulose","3","3C","B",2,"run2",35,1.37734636685254,2.46844039030738,0.113267647987894
"3C_B_3","Cellulose","3","3C","B",3,"run2",39,1.50901640628228,3.00876113199439,0.115955910752134
"3C_B_4","Cellulose","3","3C","B",4,"run2",35,1.9502602010037,5.1011689340387,0.20087190543172
"3C_B_5","Cellulose","3","3C","B",5,"run2",31,1.78087763739066,4.07784492361934,0.191453644087155
"3C_B_6","Cellulose","3","3C","B",6,"run2",33,1.86253747640607,4.786990494459,0.195153259089803
"3C_B_7","Cellulose","3","3C","B",7,"run1",14,1.81076359306825,4.63930850974863,0.436793936386422
"3C_C_1","Cellulose","3","3C","C",1,"run2",36,1.24120080223078,2.1420279889861,0.0961045962635228
"3C_C_2","Cellulose","3","3C","C",2,"run2",33,1.22317334573043,2.004850380503,0.102968288609309
"3C_C_3","Cellulose","3","3C","C",3,"run2",27,1.05114202509884,1.85640512222147,0.105959870058447
"3C_C_4","Cellulose","3","3C","C",4,"run2",40,1.59931349187662,2.87434340643321,0.123740832357478
"3C_C_5","Cellulose","3","3C","C",5,"run2",30,1.60781656170881,3.04228742555002,0.166396660492287
"3C_C_6","Cellulose","3","3C","C",6,"run2",36,1.99220543069562,5.05560247806393,0.203657929700338
"3C_C_7","Cellulose","3","3C","C",7,"run1",17,1.84909219002485,4.51635081983321,0.373767566754714
"3C_D_1","Cellulose","3","3C","D",1,"run2",33,1.2583938734053,2.16167537070641,0.106659507845071
"3C_D_2","Cellulose","3","3C","D",2,"run2",29,1.32415158302748,2.28214128946864,0.129620510577241
"3C_D_3","Cellulose","3","3C","D",3,"run2",32,1.13577997738324,2.00744034917697,0.0973000354535661
"3C_D_4","Cellulose","3","3C","D",4,"run2",35,1.71551255409074,3.56397658759881,0.158843552547222
"3C_D_5","Cellulose","3","3C","D",5,"run2",39,1.75705194782386,3.52877864562367,0.148598134842859
"3C_D_6","Cellulose","3","3C","D",6,"run2",31,1.76095457457219,4.09258794509646,0.187677046721538
"3C_D_7","Cellulose","3","3C","D",7,"run1",14,1.69700347632829,4.15495088719522,0.389826366426426
"3C_E_2","Cellulose","3","3C","E",2,"run2",32,1.44248109377467,2.78905292108778,0.132224398774959
"3C_E_3","Cellulose","3","3C","E",3,"run2",24,1.17844569896168,2.20414543002092,0.135388327278913
"3C_E_4","Cellulose","3","3C","E",4,"run2",34,1.45674190139061,2.60458849035628,0.126233915209363
"3C_E_5","Cellulose","3","3C","E",5,"run2",44,1.63394828902257,3.27636126051289,0.116456048308763
"3C_E_6","Cellulose","3","3C","E",6,"run1",15,1.68961140441716,3.66721680818869,0.361158341866893
"3C_E_7","Cellulose","3","3C","E",7,"run1",14,1.5746371528826,3.27991438379784,0.344927793957409
"3G_A_1","Glucose","3","3G","A",1,"run2",20,0.74402274540285,1.89945095966262,0.105219195546547
"3G_A_2","Glucose","3","3G","A",2,"run2",21,0.606375756949461,1.48148295737143,0.0873225381259751
"3G_A_3","Glucose","3","3G","A",3,"run2",17,0.769158506877644,1.84963640664646,0.126938211164634
"3G_A_4","Glucose","3","3G","A",4,"run2",24,0.640838510337959,1.51675286971107,0.0790863235425766
"3G_A_5","Glucose","3","3G","A",5,"run2",20,0.567921240377988,1.45225921194224,0.0882297533597429
"3G_A_6","Glucose","3","3G","A",6,"run2",32,0.735424420507587,1.72214973040284,0.065198978177789
"3G_A_7","Glucose","3","3G","A",7,"run2",13,0.658613452312481,1.52776672939978,0.148623962426062
"3G_B_1","Glucose","3","3G","B",1,"run2",25,0.726088683516042,1.80965420075742,0.0826792065086685
"3G_B_3","Glucose","3","3G","B",3,"run2",17,0.764019798192698,1.85823097541482,0.126287585795307
"3G_B_4","Glucose","3","3G","B",4,"run2",25,0.650052391597173,1.49248514743522,0.0766256475954555
"3G_B_5","Glucose","3","3G","B",5,"run2",18,0.592751495860562,1.41338476143318,0.100497717615381
"3G_B_6","Glucose","3","3G","B",6,"run2",15,0.898992557816247,1.79712495273897,0.163808430065528
"3G_B_7","Glucose","3","3G","B",7,"run1",9,0.577488434846762,1.44320249808975,0.197950923031232
