Sample_Name,Substrate,Frequency,Substrate_Frequency,Replicate,Time,Run
1C_A_1,Cellulose,1,1C,A,1,run1
1C_A_2,Cellulose,1,1C,A,2,run1
1C_A_5,Cellulose,1,1C,A,5,run1
1C_A_6,Cellulose,1,1C,A,6,run1
1C_A_7,Cellulose,1,1C,A,7,run1
1C_B_1,Cellulose,1,1C,B,1,run1
1C_B_2,Cellulose,1,1C,B,2,run1
1C_B_4,Cellulose,1,1C,B,4,run1
1C_B_5,Cellulose,1,1C,B,5,run1
1C_B_7,Cellulose,1,1C,B,7,run1
1C_C_1,Cellulose,1,1C,C,1,run1
1C_C_2,Cellulose,1,1C,C,2,run1
1C_C_4,Cellulose,1,1C,C,4,run1
1C_C_6,Cellulose,1,1C,C,6,run1
1C_C_7,Cellulose,1,1C,C,7,run1
1C_D_1,Cellulose,1,1C,D,1,run1
1C_D_2,Cellulose,1,1C,D,2,run1
1C_D_3,Cellulose,1,1C,D,3,run1
1C_D_4,Cellulose,1,1C,D,4,run1
1C_D_5,Cellulose,1,1C,D,5,run1
1C_D_6,Cellulose,1,1C,D,6,run1
1C_E_1,Cellulose,1,1C,E,1,run1
1C_E_2,Cellulose,1,1C,E,2,run1
1C_E_3,Cellulose,1,1C,E,3,run1
1C_E_4,Cellulose,1,1C,E,4,run1
1C_E_5,Cellulose,1,1C,E,5,run1
1C_E_6,Cellulose,1,1C,E,6,run1
1G_A_2,Glucose,1,1G,A,2,run1
1G_A_4,Glucose,1,1G,A,4,run1
1G_A_5,Glucose,1,1G,A,5,run1
1G_A_6,Glucose,1,1G,A,6,run1
1G_B_2,Glucose,1,1G,B,2,run1
1G_B_4,Glucose,1,1G,B,4,run1
1G_B_5,Glucose,1,1G,B,5,run1
1G_B_6,Glucose,1,1G,B,6,run1
1G_B_7,Glucose,1,1G,B,7,run1
1G_C_4,Glucose,1,1G,C,4,run1
1G_C_5,Glucose,1,1G,C,5,run1
1G_C_7,Glucose,1,1G,C,7,run1
1G_D_1,Glucose,1,1G,D,1,run1
1G_D_2,Glucose,1,1G,D,2,run1
1G_D_4,Glucose,1,1G,D,4,run1
1G_D_6,Glucose,1,1G,D,6,run1
1G_D_7,Glucose,1,1G,D,7,run1
1G_E_1,Glucose,1,1G,E,1,run1
1G_E_2,Glucose,1,1G,E,2,run1
1G_E_4,Glucose,1,1G,E,4,run1
1G_E_5,Glucose,1,1G,E,5,run1
1G_E_6,Glucose,1,1G,E,6,run1
2C_A_2,Cellulose,2,2C,A,2,run1
2C_B_2,Cellulose,2,2C,B,2,run1
2C_B_3,Cellulose,2,2C,B,3,run1
2C_C_1,Cellulose,2,2C,C,1,run1
2C_C_3,Cellulose,2,2C,C,3,run1
2C_D_1,Cellulose,2,2C,D,1,run1
2C_D_2,Cellulose,2,2C,D,2,run1
2C_D_3,Cellulose,2,2C,D,3,run1
2C_E_1,Cellulose,2,2C,E,1,run1
2C_E_2,Cellulose,2,2C,E,2,run1
2G_A_1,Glucose,2,2G,A,1,run1
2G_A_2,Glucose,2,2G,A,2,run1
2G_B_1,Glucose,2,2G,B,1,run1
2G_E_3,Glucose,2,2G,E,3,run1
3C_A_7,Cellulose,3,3C,A,7,run1
3C_B_7,Cellulose,3,3C,B,7,run1
3C_C_7,Cellulose,3,3C,C,7,run1
3C_D_7,Cellulose,3,3C,D,7,run1
3C_E_6,Cellulose,3,3C,E,6,run1
3C_E_7,Cellulose,3,3C,E,7,run1
3G_B_7,Glucose,3,3G,B,7,run1
3G_C_7,Glucose,3,3G,C,7,run1
3G_D_7,Glucose,3,3G,D,7,run1
5C_A_1,Cellulose,5,5C,A,1,run1
5C_A_2,Cellulose,5,5C,A,2,run1
5C_A_3,Cellulose,5,5C,A,3,run1
5C_A_4,Cellulose,5,5C,A,4,run1
5C_A_5,Cellulose,5,5C,A,5,run1
5C_A_6,Cellulose,5,5C,A,6,run1
5C_A_7,Cellulose,5,5C,A,7,run1
5C_B_2,Cellulose,5,5C,B,2,run1
5C_B_3,Cellulose,5,5C,B,3,run1
5C_B_4,Cellulose,5,5C,B,4,run1
5C_B_5,Cellulose,5,5C,B,5,run1
5C_B_6,Cellulose,5,5C,B,6,run1
5C_B_7,Cellulose,5,5C,B,7,run1
5C_C_1,Cellulose,5,5C,C,1,run1
5C_C_2,Cellulose,5,5C,C,2,run1
5C_C_3,Cellulose,5,5C,C,3,run1
5C_C_4,Cellulose,5,5C,C,4,run1
5C_C_5,Cellulose,5,5C,C,5,run1
5C_C_6,Cellulose,5,5C,C,6,run1
5C_C_7,Cellulose,5,5C,C,7,run1
5C_D_1,Cellulose,5,5C,D,1,run1
5C_D_2,Cellulose,5,5C,D,2,run1
5C_D_3,Cellulose,5,5C,D,3,run1
5C_D_4,Cellulose,5,5C,D,4,run1
5C_D_5,Cellulose,5,5C,D,5,run1
5C_D_6,Cellulose,5,5C,D,6,run1
5C_D_7,Cellulose,5,5C,D,7,run1
5C_E_1,Cellulose,5,5C,E,1,run1
5C_E_2,Cellulose,5,5C,E,2,run1
5C_E_3,Cellulose,5,5C,E,3,run1
5C_E_4,Cellulose,5,5C,E,4,run1
5C_E_5,Cellulose,5,5C,E,5,run1
5C_E_6,Cellulose,5,5C,E,6,run1
5C_E_7,Cellulose,5,5C,E,7,run1
5G_A_1,Glucose,5,5G,A,1,run1
5G_A_2,Glucose,5,5G,A,2,run1
5G_A_3,Glucose,5,5G,A,3,run1
5G_A_4,Glucose,5,5G,A,4,run1
5G_A_5,Glucose,5,5G,A,5,run1
5G_A_6,Glucose,5,5G,A,6,run1
5G_A_7,Glucose,5,5G,A,7,run1
5G_B_1,Glucose,5,5G,B,1,run1
5G_B_2,Glucose,5,5G,B,2,run1
5G_B_3,Glucose,5,5G,B,3,run1
5G_B_4,Glucose,5,5G,B,4,run1
5G_B_5,Glucose,5,5G,B,5,run1
5G_B_6,Glucose,5,5G,B,6,run1
5G_B_7,Glucose,5,5G,B,7,run1
5G_C_1,Glucose,5,5G,C,1,run1
5G_C_2,Glucose,5,5G,C,2,run1
5G_C_3,Glucose,5,5G,C,3,run1
5G_C_4,Glucose,5,5G,C,4,run1
5G_C_5,Glucose,5,5G,C,5,run1
5G_C_6,Glucose,5,5G,C,6,run1
5G_C_7,Glucose,5,5G,C,7,run1
5G_D_1,Glucose,5,5G,D,1,run1
5G_D_2,Glucose,5,5G,D,2,run1
5G_D_3,Glucose,5,5G,D,3,run1
5G_D_4,Glucose,5,5G,D,4,run1
5G_D_5,Glucose,5,5G,D,5,run1
5G_D_6,Glucose,5,5G,D,6,run1
5G_D_7,Glucose,5,5G,D,7,run1
5G_E_1,Glucose,5,5G,E,1,run1
5G_E_2,Glucose,5,5G,E,2,run1
5G_E_3,Glucose,5,5G,E,3,run1
5G_E_4,Glucose,5,5G,E,4,run1
5G_E_5,Glucose,5,5G,E,5,run1
5G_E_6,Glucose,5,5G,E,6,run1
5G_E_7,Glucose,5,5G,E,7,run1
7C_A_1,Cellulose,7,7C,A,1,run1
7C_A_2,Cellulose,7,7C,A,2,run1
7C_B_1,Cellulose,7,7C,B,1,run1
7C_C_1,Cellulose,7,7C,C,1,run1
7C_D_1,Cellulose,7,7C,D,1,run1
7C_E_1,Cellulose,7,7C,E,1,run1
7G_A_1,Glucose,7,7G,A,1,run1
7G_A_2,Glucose,7,7G,A,2,run1
7G_B_1,Glucose,7,7G,B,1,run1
7G_B_2,Glucose,7,7G,B,2,run1
7G_C_2,Glucose,7,7G,C,2,run1
7G_D_2,Glucose,7,7G,D,2,run1
7G_E_1,Glucose,7,7G,E,1,run1
7G_E_2,Glucose,7,7G,E,2,run1
2C_A_4,Cellulose,2,2C,A,4,run2
2C_A_6,Cellulose,2,2C,A,6,run2
2C_A_7,Cellulose,2,2C,A,7,run2
2C_B_4,Cellulose,2,2C,B,4,run2
2C_B_6,Cellulose,2,2C,B,6,run2
2C_C_4,Cellulose,2,2C,C,4,run2
2C_C_6,Cellulose,2,2C,C,6,run2
2C_D_4,Cellulose,2,2C,D,4,run2
2C_D_6,Cellulose,2,2C,D,6,run2
2C_D_7,Cellulose,2,2C,D,7,run2
2C_E_3,Cellulose,2,2C,E,3,run2
2C_E_6,Cellulose,2,2C,E,6,run2
2C_E_7,Cellulose,2,2C,E,7,run2
2G_A_3,Glucose,2,2G,A,3,run2
2G_A_4,Glucose,2,2G,A,4,run2
2G_A_6,Glucose,2,2G,A,6,run2
2G_A_7,Glucose,2,2G,A,7,run2
2G_B_3,Glucose,2,2G,B,3,run2
2G_B_4,Glucose,2,2G,B,4,run2
2G_B_6,Glucose,2,2G,B,6,run2
2G_B_7,Glucose,2,2G,B,7,run2
2G_C_2,Glucose,2,2G,C,2,run2
2G_C_3,Glucose,2,2G,C,3,run2
2G_C_4,Glucose,2,2G,C,4,run2
2G_C_6,Glucose,2,2G,C,6,run2
2G_C_7,Glucose,2,2G,C,7,run2
2G_D_2,Glucose,2,2G,D,2,run2
2G_D_3,Glucose,2,2G,D,3,run2
2G_D_4,Glucose,2,2G,D,4,run2
2G_D_5,Glucose,2,2G,D,5,run2
2G_D_6,Glucose,2,2G,D,6,run2
2G_D_7,Glucose,2,2G,D,7,run2
2G_E_2,Glucose,2,2G,E,2,run2
2G_E_4,Glucose,2,2G,E,4,run2
2G_E_5,Glucose,2,2G,E,5,run2
2G_E_6,Glucose,2,2G,E,6,run2
2G_E_7,Glucose,2,2G,E,7,run2
3C_A_1,Cellulose,3,3C,A,1,run2
3C_A_2,Cellulose,3,3C,A,2,run2
3C_A_3,Cellulose,3,3C,A,3,run2
3C_A_4,Cellulose,3,3C,A,4,run2
3C_A_5,Cellulose,3,3C,A,5,run2
3C_A_6,Cellulose,3,3C,A,6,run2
3C_B_1,Cellulose,3,3C,B,1,run2
3C_B_2,Cellulose,3,3C,B,2,run2
3C_B_3,Cellulose,3,3C,B,3,run2
3C_B_4,Cellulose,3,3C,B,4,run2
3C_B_5,Cellulose,3,3C,B,5,run2
3C_B_6,Cellulose,3,3C,B,6,run2
3C_C_1,Cellulose,3,3C,C,1,run2
3C_C_2,Cellulose,3,3C,C,2,run2
3C_C_3,Cellulose,3,3C,C,3,run2
3C_C_4,Cellulose,3,3C,C,4,run2
3C_C_5,Cellulose,3,3C,C,5,run2
3C_C_6,Cellulose,3,3C,C,6,run2
3C_D_1,Cellulose,3,3C,D,1,run2
3C_D_2,Cellulose,3,3C,D,2,run2
3C_D_3,Cellulose,3,3C,D,3,run2
3C_D_4,Cellulose,3,3C,D,4,run2
3C_D_5,Cellulose,3,3C,D,5,run2
3C_D_6,Cellulose,3,3C,D,6,run2
3C_E_2,Cellulose,3,3C,E,2,run2
3C_E_3,Cellulose,3,3C,E,3,run2
3C_E_4,Cellulose,3,3C,E,4,run2
3C_E_5,Cellulose,3,3C,E,5,run2
3G_A_1,Glucose,3,3G,A,1,run2
3G_A_2,Glucose,3,3G,A,2,run2
3G_A_3,Glucose,3,3G,A,3,run2
3G_A_4,Glucose,3,3G,A,4,run2
3G_A_5,Glucose,3,3G,A,5,run2
3G_A_6,Glucose,3,3G,A,6,run2
3G_A_7,Glucose,3,3G,A,7,run2
3G_B_1,Glucose,3,3G,B,1,run2
3G_B_3,Glucose,3,3G,B,3,run2
3G_B_4,Glucose,3,3G,B,4,run2
3G_B_5,Glucose,3,3G,B,5,run2
3G_B_6,Glucose,3,3G,B,6,run2
3G_C_2,Glucose,3,3G,C,2,run2
3G_C_3,Glucose,3,3G,C,3,run2
3G_C_4,Glucose,3,3G,C,4,run2
3G_C_5,Glucose,3,3G,C,5,run2
3G_C_6,Glucose,3,3G,C,6,run2
3G_D_1,Glucose,3,3G,D,1,run2
3G_D_2,Glucose,3,3G,D,2,run2
3G_D_3,Glucose,3,3G,D,3,run2
3G_D_4,Glucose,3,3G,D,4,run2
3G_D_5,Glucose,3,3G,D,5,run2
3G_D_6,Glucose,3,3G,D,6,run2
3G_E_1,Glucose,3,3G,E,1,run2
3G_E_2,Glucose,3,3G,E,2,run2
3G_E_3,Glucose,3,3G,E,3,run2
3G_E_4,Glucose,3,3G,E,4,run2
3G_E_5,Glucose,3,3G,E,5,run2
3G_E_6,Glucose,3,3G,E,6,run2
7C_A_3,Cellulose,7,7C,A,3,run2
7C_A_4,Cellulose,7,7C,A,4,run2
7C_A_5,Cellulose,7,7C,A,5,run2
7C_A_6,Cellulose,7,7C,A,6,run2
7C_A_7,Cellulose,7,7C,A,7,run2
7C_B_2,Cellulose,7,7C,B,2,run2
7C_B_3,Cellulose,7,7C,B,3,run2
7C_B_4,Cellulose,7,7C,B,4,run2
7C_B_5,Cellulose,7,7C,B,5,run2
7C_B_6,Cellulose,7,7C,B,6,run2
7C_B_7,Cellulose,7,7C,B,7,run2
7C_C_2,Cellulose,7,7C,C,2,run2
7C_C_3,Cellulose,7,7C,C,3,run2
7C_C_4,Cellulose,7,7C,C,4,run2
7C_C_5,Cellulose,7,7C,C,5,run2
7C_C_6,Cellulose,7,7C,C,6,run2
7C_C_7,Cellulose,7,7C,C,7,run2
7C_D_2,Cellulose,7,7C,D,2,run2
7C_D_3,Cellulose,7,7C,D,3,run2
7C_D_4,Cellulose,7,7C,D,4,run2
7C_D_5,Cellulose,7,7C,D,5,run2
7C_D_6,Cellulose,7,7C,D,6,run2
7C_D_7,Cellulose,7,7C,D,7,run2
7C_E_2,Cellulose,7,7C,E,2,run2
7C_E_3,Cellulose,7,7C,E,3,run2
7C_E_5,Cellulose,7,7C,E,5,run2
7C_E_6,Cellulose,7,7C,E,6,run2
7C_E_7,Cellulose,7,7C,E,7,run2
7G_A_3,Glucose,7,7G,A,3,run2
7G_A_4,Glucose,7,7G,A,4,run2
7G_A_5,Glucose,7,7G,A,5,run2
7G_A_6,Glucose,7,7G,A,6,run2
7G_A_7,Glucose,7,7G,A,7,run2
7G_B_3,Glucose,7,7G,B,3,run2
7G_B_4,Glucose,7,7G,B,4,run2
7G_B_5,Glucose,7,7G,B,5,run2
7G_B_6,Glucose,7,7G,B,6,run2
7G_B_7,Glucose,7,7G,B,7,run2
7G_C_3,Glucose,7,7G,C,3,run2
7G_C_4,Glucose,7,7G,C,4,run2
7G_C_5,Glucose,7,7G,C,5,run2
7G_C_6,Glucose,7,7G,C,6,run2
7G_C_7,Glucose,7,7G,C,7,run2
7G_D_3,Glucose,7,7G,D,3,run2
7G_D_4,Glucose,7,7G,D,4,run2
7G_D_5,Glucose,7,7G,D,5,run2
7G_D_6,Glucose,7,7G,D,6,run2
7G_D_7,Glucose,7,7G,D,7,run2
7G_E_3,Glucose,7,7G,E,3,run2
7G_E_4,Glucose,7,7G,E,4,run2
7G_E_5,Glucose,7,7G,E,5,run2
7G_E_6,Glucose,7,7G,E,6,run2
7G_E_7,Glucose,7,7G,E,7,run2
